Time (s),ECT (uS/cm),Temperature (C)
1,298,10.8
2,298,10.8
3,298,10.8
4,298,10.8
5,298,10.8
6,298,10.8
7,298,10.8
8,298,10.8
9,298,10.8
10,298,10.8
11,298,10.8
12,298,10.8
13,298,10.8
14,298,10.8
15,298,10.8
16,298,10.8
17,298,10.8
18,298,10.8
19,298,10.8
20,298,10.8
21,298,10.8
22,298,10.8
23,298,10.8
24,298,10.8
25,298,10.8
26,298,10.8
27,298,10.8
28,298,10.8
29,298,10.8
30,298,10.8
31,298,10.8
32,298,10.8
33,298,10.8
34,298,10.8
35,298,10.8
36,298,10.8
37,298,10.8
38,298,10.8
39,298,10.8
40,298,10.8
41,298,10.8
42,298,10.8
43,298,10.8
44,298,10.8
45,298,10.8
46,298,10.8
47,298,10.8
48,298,10.8
49,298,10.8
50,298,10.8
51,298,10.8
52,298,10.8
53,298,10.8
54,298,10.8
55,298,10.8
56,298,10.8
57,298,10.7
58,298,10.8
59,298,10.8
60,298,10.8
61,298,10.8
62,298,10.8
63,298,10.8
64,298,10.8
65,298,10.8
66,298,10.7
67,298,10.8
68,298,10.8
69,298,10.8
70,298,10.8
71,298,10.8
72,298,10.8
73,298,10.8
74,298,10.8
75,298,10.8
76,298,10.8
77,298,10.7
78,298,10.7
79,298,10.7
80,298,10.7
81,298,10.8
82,298,10.8
83,298,10.8
84,298,10.8
85,298,10.8
86,298,10.7
87,298,10.7
88,298,10.7
89,298,10.8
90,298,10.8
91,298,10.8
92,298,10.8
93,298,10.8
94,298,10.8
95,298,10.8
96,298,10.7
97,298,10.8
98,298,10.7
99,298,10.7
100,298,10.7
101,298,10.7
102,298,10.7
103,298,10.7
104,298,10.7
105,298,10.7
106,298,10.7
107,298,10.7
108,298,10.7
109,298,10.8
110,298,10.8
111,298,10.7
112,298,10.7
113,298,10.7
114,298,10.7
115,298,10.7
116,298,10.7
117,298,10.7
118,298,10.8
119,298,10.8
120,298,10.8
121,298,10.7
122,298,10.7
123,298,10.7
124,298,10.7
125,298,10.7
126,298,10.7
127,298,10.7
128,298,10.8
129,298,10.8
130,298,10.7
131,298,10.7
132,298,10.7
133,298,10.7
134,298,10.7
135,298,10.7
136,298,10.7
137,298,10.7
138,298,10.7
139,298,10.7
140,298,10.7
141,298,10.7
142,298,10.7
143,298,10.7
144,298,10.7
145,298,10.7
146,298,10.7
147,298,10.7
148,298,10.7
149,298,10.7
150,298,10.7
151,298,10.7
152,298,10.7
153,298,10.7
154,298,10.7
155,298,10.7
156,298,10.7
157,298,10.7
158,298,10.7
159,298,10.7
160,298,10.7
161,298,10.7
162,298,10.7
163,298,10.7
164,298,10.7
165,298,10.8
166,298,10.7
167,298,10.7
168,298,10.7
169,298,10.7
170,298,10.7
171,298,10.7
172,298,10.7
173,298,10.7
174,298,10.7
175,298,10.7
176,298,10.7
177,298,10.7
178,298,10.7
179,298,10.7
180,298,10.7
181,298,10.7
182,298,10.7
183,298,10.7
184,298,10.7
185,298,10.7
186,298,10.7
187,298,10.7
188,298,10.7
189,298,10.7
190,298,10.7
191,298,10.7
192,298,10.7
193,298,10.7
194,298,10.7
195,298,10.7
196,298,10.7
197,299,10.7
198,299,10.7
199,299,10.7
200,300,10.7
201,300,10.7
202,300,10.7
203,300,10.7
204,301,10.7
205,301,10.7
206,302,10.7
207,303,10.7
208,303,10.7
209,303,10.7
210,305,10.7
211,305,10.7
212,307,10.7
213,307,10.7
214,310,10.7
215,312,10.7
216,313,10.7
217,315,10.7
218,315,10.7
219,320,10.7
220,322,10.7
221,325,10.7
222,328,10.7
223,329,10.7
224,329,10.7
225,335,10.7
226,339,10.7
227,343,10.7
228,348,10.7
229,353,10.7
230,356,10.7
231,356,10.7
232,362,10.7
233,365,10.7
234,369,10.7
235,373,10.7
236,377,10.7
237,377,10.7
238,385,10.7
239,389,10.7
240,393,10.7
241,396,10.7
242,400,10.7
243,400,10.7
244,405,10.7
245,409,10.7
246,413,10.7
247,416,10.7
248,416,10.7
249,422,10.7
250,423,10.7
251,425,10.7
252,428,10.7
253,428,10.7
254,431,10.7
255,433,10.7
256,435,10.7
257,436,10.7
258,436,10.7
259,440,10.7
260,441,10.7
261,441,10.7
262,442,10.7
263,442,10.7
264,442,10.7
265,443,10.7
266,443,10.7
267,443,10.7
268,443,10.7
269,443,10.7
270,442,10.7
271,443,10.7
272,442,10.7
273,442,10.7
274,441,10.7
275,440,10.7
276,439,10.7
277,438,10.7
278,437,10.7
279,437,10.7
280,435,10.7
281,433,10.7
282,433,10.7
283,433,10.7
284,431,10.7
285,429,10.7
286,428,10.7
287,426,10.7
288,425,10.7
289,425,10.7
290,422,10.7
291,421,10.7
292,420,10.7
293,420,10.7
294,418,10.7
295,416,10.7
296,415,10.7
297,414,10.7
298,412,10.7
299,412,10.7
300,409,10.7
301,409,10.7
302,407,10.7
303,407,10.7
304,404,10.7
305,403,10.7
306,401,10.7
307,400,10.7
308,400,10.7
309,397,10.7
310,396,10.7
311,396,10.7
312,394,10.7
313,393,10.7
314,393,10.7
315,390,10.7
316,389,10.7
317,388,10.7
318,386,10.7
319,385,10.7
320,384,10.7
321,384,10.7
322,382,10.7
323,380,10.7
324,379,10.7
325,378,10.7
326,377,10.7
327,377,10.7
328,374,10.7
329,373,10.7
330,372,10.7
331,371,10.7
332,370,10.7
333,368,10.7
334,368,10.7
335,367,10.7
336,366,10.7
337,365,10.7
338,365,10.7
339,364,10.7
340,364,10.7
341,362,10.7
342,361,10.7
343,360,10.7
344,359,10.7
345,358,10.7
346,358,10.7
347,356,10.7
348,356,10.6
349,355,10.7
350,354,10.7
351,353,10.7
352,353,10.7
353,353,10.7
354,351,10.7
355,350,10.7
356,349,10.7
357,349,10.7
358,348,10.7
359,348,10.7
360,347,10.7
361,346,10.7
362,345,10.7
363,345,10.7
364,344,10.7
365,343,10.7
366,343,10.7
367,341,10.7
368,341,10.7
369,340,10.7
370,339,10.7
371,339,10.7
372,339,10.7
373,339,10.7
374,338,10.6
375,337,10.6
376,337,10.6
