Time (s),ECT (uS/cm),Temperature (C)
377,336,10.7
378,336,10.7
379,335,10.7
380,335,10.7
381,334,10.7
382,334,10.7
383,333,10.7
384,332,10.7
385,332,10.7
386,331,10.7
387,332,10.7
388,331,10.7
389,330,10.7
390,330,10.7
391,330,10.7
392,329,10.7
393,328,10.7
394,328,10.6
395,327,10.6
396,327,10.7
397,327,10.7
398,326,10.6
399,326,10.7
400,325,10.7
401,325,10.7
402,324,10.7
403,325,10.6
404,325,10.6
405,324,10.6
406,323,10.6
407,323,10.6
408,323,10.6
409,323,10.6
410,323,10.6
411,322,10.6
412,322,10.6
413,321,10.6
414,320,10.6
415,320,10.7
416,320,10.7
417,320,10.7
418,319,10.7
419,319,10.7
420,319,10.7
421,319,10.7
422,319,10.6
423,319,10.6
424,318,10.6
425,318,10.6
426,317,10.6
427,317,10.6
428,317,10.6
429,317,10.6
430,317,10.6
431,316,10.6
432,316,10.6
433,316,10.6
434,315,10.6
435,315,10.6
436,315,10.6
437,315,10.6
438,315,10.6
439,315,10.6
440,315,10.6
441,314,10.6
442,314,10.6
443,313,10.6
444,313,10.6
445,313,10.6
446,313,10.6
447,313,10.6
448,313,10.6
449,313,10.6
450,312,10.6
451,312,10.6
452,311,10.6
453,311,10.7
454,311,10.6
455,311,10.6
456,311,10.6
457,311,10.6
458,311,10.6
459,310,10.6
460,310,10.6
461,310,10.6
462,310,10.6
463,309,10.6
464,309,10.6
465,309,10.6
466,309,10.6
467,309,10.6
468,309,10.6
469,309,10.6
470,309,10.6
471,309,10.6
472,309,10.6
473,308,10.6
474,308,10.6
475,308,10.6
476,308,10.6
477,307,10.6
478,307,10.6
479,307,10.6
480,307,10.6
481,307,10.6
482,307,10.6
483,307,10.6
484,307,10.6
485,307,10.6
486,307,10.6
487,307,10.6
488,307,10.6
489,307,10.6
490,307,10.6
491,306,10.6
492,306,10.6
493,306,10.6
494,306,10.6
495,305,10.6
496,305,10.6
497,306,10.6
498,306,10.6
499,305,10.6
500,305,10.6
501,306,10.6
502,305,10.6
503,305,10.6
504,305,10.6
505,305,10.6
506,305,10.6
507,305,10.6
508,305,10.6
509,305,10.6
510,304,10.6
511,304,10.6
512,304,10.6
513,304,10.6
514,304,10.6
515,304,10.6
516,303,10.6
517,303,10.6
518,304,10.6
519,304,10.6
520,303,10.6
521,303,10.6
522,303,10.6
523,303,10.6
524,303,10.6
525,303,10.6
526,303,10.6
527,303,10.6
528,303,10.6
529,303,10.6
530,303,10.6
531,303,10.6
532,303,10.6
533,303,10.6
534,303,10.6
535,302,10.6
536,302,10.6
537,302,10.6
538,302,10.6
539,302,10.6
540,302,10.6
541,302,10.6
542,302,10.6
543,302,10.6
544,302,10.6
545,302,10.6
546,302,10.6
547,302,10.6
548,302,10.6
549,302,10.6
550,301,10.6
551,301,10.6
552,301,10.6
553,302,10.6
554,302,10.6
555,302,10.6
556,301,10.6
557,301,10.6
558,302,10.6
559,302,10.6
560,302,10.6
561,302,10.6
562,301,10.6
563,302,10.6
564,302,10.6
565,302,10.6
566,301,10.6
567,301,10.6
568,301,10.6
569,301,10.6
570,301,10.6
571,301,10.6
572,301,10.6
573,301,10.6
574,301,10.6
575,301,10.6
576,301,10.6
577,301,10.6
578,301,10.6
579,300,10.6
580,300,10.6
581,300,10.6
582,300,10.6
583,300,10.6
584,300,10.6
585,300,10.6
586,300,10.6
587,300,10.6
588,300,10.6
589,300,10.6
590,300,10.6
591,300,10.6
592,300,10.6
593,300,10.6
594,300,10.6
595,300,10.6
596,300,10.6
597,300,10.6
598,300,10.6
599,300,10.6
600,300,10.6
601,300,10.6
602,300,10.6
603,300,10.6
604,300,10.6
605,300,10.6
606,299,10.6
607,299,10.6
608,300,10.6
609,300,10.6
610,300,10.6
611,300,10.6
612,300,10.6
613,300,10.6
614,299,10.6
615,300,10.6
616,300,10.6
617,300,10.6
618,300,10.6
619,300,10.6
620,299,10.6
621,300,10.6
622,300,10.6
623,300,10.6
624,299,10.6
625,299,10.6
626,299,10.6
627,300,10.6
628,300,10.6
629,300,10.6
630,300,10.6
631,299,10.6
632,299,10.6
633,300,10.6
634,299,10.6
635,299,10.6
636,299,10.6
637,299,10.6
638,299,10.6
639,300,10.6
640,299,10.6
641,299,10.6
642,299,10.6
643,299,10.6
644,299,10.6
645,299,10.6
646,299,10.6
647,299,10.6
648,299,10.6
649,299,10.6
650,299,10.6
651,299,10.6
652,299,10.6
653,299,10.6
654,299,10.6
655,299,10.6
656,299,10.6
657,299,10.6
658,299,10.6
659,299,10.6
660,299,10.6
661,299,10.6
662,299,10.6
663,299,10.6
664,299,10.6
665,299,10.6
666,299,10.6
667,299,10.6
668,299,10.6
669,299,10.6
670,299,10.6
671,299,10.6
672,299,10.6
673,299,10.6
674,299,10.6
675,299,10.6
676,299,10.6
677,299,10.6
678,299,10.6
679,299,10.6
680,299,10.6
681,299,10.6
682,299,10.6
683,299,10.6
684,299,10.6
685,299,10.6
686,299,10.6
687,299,10.6
688,299,10.6
689,299,10.6
690,299,10.6
691,299,10.6
692,299,10.6
693,299,10.6
694,299,10.6
695,299,10.6
696,299,10.6
697,299,10.6
698,299,10.6
699,299,10.6
700,299,10.6
701,299,10.6
702,299,10.6
703,299,10.5
704,299,10.5
705,299,10.5
706,299,10.5
707,299,10.5
708,299,10.5
709,299,10.6
710,299,10.5
711,299,10.5
712,299,10.5
713,299,10.5
714,299,10.5
715,299,10.5
716,299,10.6
717,298,10.6
718,299,10.6
719,298,10.6
720,298,10.6
721,298,10.6
722,298,10.6
723,299,10.6
724,299,10.5
725,299,10.5
726,298,10.6
727,298,10.6
728,298,10.6
729,298,10.6
730,298,10.6
731,298,10.6
732,298,10.6
733,298,10.6
734,298,10.6
735,298,10.6
736,298,10.6
737,298,10.5
738,298,10.5
739,298,10.6
740,298,10.5
741,298,10.6
742,298,10.5
743,298,10.5
744,298,10.5
745,298,10.5
746,298,10.5
747,298,10.5
748,298,10.5
749,298,10.5
750,298,10.5
751,298,10.5
752,298,10.5
753,298,10.5
754,298,10.6
755,298,10.6
756,298,10.6
757,298,10.6
758,298,10.6
759,298,10.6
760,298,10.6
761,298,10.6
762,298,10.6
763,298,10.6
764,298,10.6
765,298,10.6
766,298,10.6
767,298,10.6
768,298,10.6
769,298,10.6
770,298,10.5
771,298,10.5
772,298,10.5
773,298,10.5
774,298,10.5
775,298,10.5
776,299,10.5
777,298,10.5
778,298,10.5
779,298,10.5
780,298,10.5
781,298,10.5
782,298,10.5
783,298,10.5
784,298,10.5
785,298,10.5
786,298,10.5
787,298,10.5
788,298,10.5
789,298,10.5
790,298,10.5
791,298,10.5
792,298,10.5
793,298,10.5
794,298,10.5
795,298,10.6
796,298,10.5
797,298,10.5
798,298,10.5
799,298,10.5
800,298,10.5
801,298,10.5
802,298,10.5
803,298,10.5
804,298,10.5
805,298,10.5
806,298,10.5
807,298,10.5
808,298,10.5
809,298,10.5
810,298,10.5
811,298,10.5
812,298,10.5
813,298,10.5
814,298,10.5
815,298,10.5
816,298,10.5
817,298,10.5
818,298,10.5
819,298,10.5
820,298,10.5
821,298,10.5
822,298,10.5
823,298,10.5
824,298,10.5
825,298,10.5
826,298,10.5
827,298,10.5
828,298,10.5
829,298,10.5
830,298,10.5
831,298,10.5
832,298,10.5
833,298,10.5
834,298,10.5
835,298,10.5
836,298,10.5
837,298,10.5
838,298,10.5
839,298,10.5
840,298,10.5
841,298,10.5
842,298,10.5
843,298,10.5
844,298,10.5
845,298,10.5
846,298,10.5
847,298,10.5
848,298,10.5
849,298,10.5
850,298,10.5
851,298,10.5
852,298,10.5
853,298,10.5
854,298,10.5
855,298,10.5
856,298,10.5
857,298,10.5
858,298,10.5
859,298,10.5
860,298,10.5
861,298,10.5
862,298,10.5
863,298,10.5
864,298,10.5
865,298,10.5
866,298,10.5
867,298,10.5
868,298,10.5
