Time (s),ECT (uS/cm),Temperature (C)
617,331,8.6
618,330,8.6
619,330,8.6
620,330,8.6
621,330,8.6
622,329,8.6
623,329,8.6
624,329,8.6
625,329,8.6
626,329,8.6
627,329,8.6
628,329,8.6
629,329,8.6
630,329,8.6
631,328,8.6
632,328,8.6
633,328,8.6
634,328,8.6
635,328,8.6
636,327,8.6
637,327,8.6
638,328,8.6
639,328,8.6
640,328,8.6
641,327,8.6
642,327,8.6
643,328,8.6
644,327,8.6
645,327,8.6
646,327,8.6
647,327,8.6
648,327,8.6
649,327,8.6
650,327,8.6
651,327,8.6
652,327,8.6
653,326,8.6
654,326,8.6
655,326,8.6
656,326,8.6
657,326,8.6
658,326,8.6
659,326,8.6
660,326,8.6
661,326,8.6
662,326,8.6
663,326,8.6
664,326,8.6
665,325,8.6
666,325,8.6
667,325,8.6
668,325,8.6
669,325,8.6
670,325,8.6
671,325,8.6
672,325,8.6
673,325,8.6
674,325,8.6
675,325,8.6
676,325,8.6
677,325,8.6
678,325,8.6
679,325,8.6
680,324,8.6
681,324,8.6
682,324,8.6
683,324,8.6
684,325,8.6
685,325,8.6
686,325,8.6
687,325,8.6
688,324,8.6
689,324,8.6
690,324,8.6
691,324,8.6
692,324,8.6
693,324,8.6
694,324,8.6
695,324,8.6
696,324,8.6
697,324,8.6
698,324,8.6
699,324,8.6
700,324,8.6
701,324,8.6
702,324,8.6
703,324,8.6
704,324,8.6
705,324,8.6
706,324,8.6
707,324,8.6
708,323,8.6
709,324,8.6
710,324,8.6
711,324,8.6
712,324,8.6
713,323,8.6
714,323,8.6
715,324,8.6
716,324,8.6
717,324,8.6
718,323,8.6
719,323,8.6
720,324,8.6
721,323,8.6
722,323,8.6
723,324,8.6
724,323,8.6
725,323,8.6
726,323,8.6
727,323,8.6
728,323,8.6
729,323,8.6
730,324,8.6
731,323,8.6
732,323,8.6
733,323,8.6
734,323,8.6
735,323,8.6
736,323,8.6
737,323,8.6
738,323,8.6
739,323,8.6
740,323,8.6
741,323,8.6
742,323,8.7
743,322,8.7
744,322,8.7
745,323,8.7
746,323,8.6
747,323,8.6
748,323,8.6
749,323,8.6
750,323,8.6
751,323,8.6
752,323,8.6
753,323,8.6
754,323,8.6
755,323,8.6
756,323,8.6
757,323,8.6
758,323,8.6
759,323,8.6
760,323,8.6
761,323,8.6
762,323,8.6
763,323,8.6
764,323,8.6
765,322,8.6
766,322,8.6
