Time (s),ECT (uS/cm),Temperature (C)
1,322,8.5
2,322,8.5
3,322,8.5
4,322,8.5
5,322,8.4
6,322,8.4
7,322,8.4
8,322,8.4
9,322,8.4
10,322,8.5
11,322,8.4
12,322,8.4
13,322,8.4
14,322,8.5
15,322,8.4
16,323,8.4
17,323,8.4
18,322,8.4
19,322,8.5
20,322,8.5
21,322,8.5
22,322,8.5
23,323,8.5
24,322,8.5
25,322,8.5
26,322,8.5
27,322,8.5
28,322,8.5
29,322,8.5
30,322,8.5
31,322,8.5
32,322,8.5
33,322,8.4
34,322,8.4
35,322,8.4
36,322,8.4
37,322,8.4
38,322,8.4
39,322,8.4
40,322,8.4
41,322,8.4
42,322,8.4
43,322,8.4
44,322,8.4
45,323,8.4
46,322,8.5
47,322,8.5
48,322,8.4
49,322,8.5
50,322,8.5
51,322,8.4
52,322,8.4
53,322,8.5
54,322,8.4
55,322,8.4
56,322,8.5
57,323,8.5
58,323,8.4
59,323,8.4
60,323,8.4
61,323,8.4
62,323,8.4
63,323,8.4
64,323,8.5
65,322,8.5
66,322,8.5
67,322,8.5
68,322,8.5
69,322,8.5
70,322,8.4
71,322,8.4
72,322,8.4
73,322,8.4
74,322,8.4
75,322,8.4
76,322,8.5
77,323,8.5
78,322,8.5
79,322,8.5
80,322,8.5
81,322,8.5
82,322,8.5
83,322,8.5
84,322,8.5
85,322,8.5
86,322,8.5
87,322,8.5
88,322,8.5
89,322,8.5
90,322,8.5
91,322,8.5
92,322,8.5
93,322,8.5
94,322,8.5
95,322,8.5
96,323,8.5
97,322,8.5
98,322,8.5
99,322,8.5
100,322,8.5
101,322,8.5
102,322,8.5
103,322,8.5
104,322,8.5
105,322,8.5
106,322,8.5
107,323,8.5
108,322,8.5
109,322,8.5
110,322,8.5
111,322,8.5
112,322,8.5
113,322,8.5
114,322,8.5
115,322,8.5
116,322,8.5
117,322,8.5
118,322,8.5
119,322,8.5
120,323,8.5
121,323,8.5
122,323,8.5
123,323,8.5
124,322,8.5
125,322,8.5
126,322,8.5
127,322,8.5
128,322,8.5
129,322,8.5
130,322,8.5
131,322,8.5
132,322,8.5
133,322,8.5
134,322,8.5
135,322,8.5
136,322,8.5
137,322,8.5
138,322,8.5
139,322,8.5
140,322,8.5
141,322,8.5
142,322,8.5
143,322,8.5
144,323,8.5
145,323,8.5
146,323,8.5
147,323,8.5
148,323,8.5
149,323,8.5
150,323,8.5
151,323,8.5
152,323,8.5
153,323,8.5
154,323,8.5
155,323,8.5
156,323,8.5
157,323,8.5
158,323,8.5
159,323,8.5
160,322,8.5
161,322,8.5
162,323,8.5
163,323,8.5
164,323,8.5
165,323,8.5
166,323,8.5
167,323,8.5
168,323,8.5
169,323,8.5
170,323,8.5
171,323,8.5
172,323,8.5
173,323,8.5
174,323,8.5
175,323,8.5
176,323,8.5
177,323,8.5
178,323,8.5
179,323,8.5
180,323,8.5
181,323,8.5
182,323,8.5
183,323,8.5
184,323,8.5
185,323,8.5
186,323,8.5
187,323,8.5
188,323,8.5
189,323,8.5
190,323,8.5
191,324,8.5
192,323,8.5
193,323,8.5
194,323,8.5
195,324,8.5
196,323,8.5
197,324,8.5
198,324,8.5
199,324,8.5
200,324,8.5
201,324,8.5
202,324,8.5
203,324,8.5
204,323,8.5
205,323,8.5
206,323,8.5
207,323,8.5
208,323,8.5
209,323,8.5
210,323,8.5
211,323,8.5
212,323,8.5
213,323,8.5
214,323,8.5
215,323,8.5
216,323,8.5
217,323,8.5
218,323,8.5
219,323,8.5
220,323,8.5
221,323,8.5
222,323,8.5
223,323,8.5
224,323,8.5
225,323,8.5
226,323,8.5
227,323,8.5
228,323,8.5
229,323,8.5
230,323,8.5
231,323,8.5
232,323,8.5
233,323,8.5
234,323,8.5
235,323,8.5
236,323,8.5
237,323,8.5
238,323,8.5
239,324,8.5
240,324,8.5
241,323,8.5
242,323,8.5
243,323,8.5
244,323,8.5
245,323,8.5
246,323,8.5
247,323,8.5
248,324,8.5
249,324,8.5
250,323,8.5
251,324,8.5
252,324,8.5
253,324,8.5
254,324,8.5
255,324,8.5
256,324,8.5
257,324,8.5
258,324,8.5
259,325,8.5
260,325,8.5
261,325,8.5
262,326,8.5
263,326,8.5
264,327,8.5
265,327,8.5
266,327,8.5
267,328,8.5
268,329,8.5
269,329,8.5
270,331,8.5
271,331,8.5
272,333,8.5
273,334,8.5
274,335,8.5
275,337,8.5
276,338,8.5
277,338,8.5
278,342,8.5
279,344,8.5
280,346,8.5
281,348,8.5
282,349,8.5
283,349,8.5
284,352,8.5
285,356,8.5
286,358,8.5
287,361,8.5
288,364,8.5
289,368,8.5
290,368,8.5
291,372,8.5
292,376,8.5
293,379,8.5
294,382,8.5
295,387,8.5
296,387,8.5
297,393,8.5
298,397,8.5
299,399,8.5
300,402,8.5
301,407,8.5
302,407,8.5
303,413,8.5
304,418,8.5
305,422,8.5
306,426,8.5
307,426,8.5
308,433,8.5
309,437,8.5
310,440,8.5
311,443,8.5
312,443,8.5
313,450,8.5
314,453,8.5
315,456,8.5
316,460,8.5
317,460,8.5
318,467,8.5
319,469,8.5
320,473,8.5
321,475,8.5
322,475,8.5
323,479,8.5
324,482,8.5
325,484,8.5
326,487,8.5
327,487,8.5
328,492,8.5
329,495,8.5
330,497,8.5
331,499,8.5
332,499,8.5
333,502,8.5
334,503,8.5
335,505,8.5
336,506,8.5
337,506,8.5
338,508,8.5
339,510,8.5
340,511,8.5
341,513,8.5
342,515,8.5
343,515,8.5
344,516,8.5
345,516,8.5
346,516,8.5
347,516,8.5
348,516,8.5
349,516,8.5
350,517,8.5
351,518,8.5
352,518,8.5
353,518,8.5
354,518,8.5
355,517,8.5
356,516,8.5
357,516,8.5
358,516,8.5
359,516,8.5
360,515,8.5
361,515,8.5
362,514,8.5
363,514,8.5
364,512,8.5
365,512,8.5
366,510,8.5
367,510,8.5
368,509,8.5
369,508,8.5
370,509,8.5
371,507,8.5
372,506,8.5
373,506,8.5
374,504,8.5
375,503,8.5
376,502,8.5
377,502,8.5
378,499,8.5
379,499,8.5
380,497,8.5
381,496,8.5
382,495,8.5
383,495,8.5
384,493,8.5
385,491,8.5
386,490,8.5
387,490,8.5
388,488,8.5
389,486,8.5
390,485,8.5
391,484,8.5
392,482,8.5
393,482,8.5
394,481,8.5
395,479,8.5
396,478,8.5
397,478,8.5
398,474,8.5
399,473,8.5
400,472,8.5
401,471,8.5
402,469,8.5
403,469,8.5
404,466,8.5
405,465,8.5
406,463,8.5
407,463,8.5
408,461,8.5
409,459,8.5
410,458,8.6
411,456,8.6
412,454,8.6
413,454,8.6
414,452,8.6
415,451,8.6
416,450,8.6
417,450,8.6
418,447,8.6
419,446,8.5
420,445,8.5
421,444,8.5
422,443,8.5
423,443,8.5
424,441,8.5
425,440,8.5
426,439,8.5
427,439,8.6
428,435,8.6
429,434,8.6
430,433,8.6
431,432,8.6
432,430,8.6
433,430,8.6
434,429,8.6
435,428,8.6
436,427,8.6
437,427,8.6
438,425,8.6
439,424,8.6
440,424,8.6
441,422,8.6
442,421,8.5
443,421,8.6
444,419,8.6
445,418,8.6
446,417,8.6
447,415,8.6
448,415,8.6
449,413,8.6
450,412,8.6
451,411,8.5
452,410,8.5
453,410,8.6
454,410,8.6
455,408,8.6
456,407,8.6
457,406,8.6
458,405,8.6
459,405,8.5
460,405,8.6
461,403,8.5
462,402,8.5
463,401,8.5
464,400,8.5
465,399,8.6
466,398,8.6
467,398,8.6
468,397,8.6
469,396,8.6
470,395,8.6
471,394,8.6
472,393,8.6
473,393,8.6
474,391,8.6
475,391,8.6
476,390,8.6
477,389,8.6
478,388,8.6
479,388,8.6
480,387,8.6
481,387,8.6
482,386,8.6
483,385,8.6
484,385,8.6
485,385,8.6
486,383,8.6
487,382,8.6
488,382,8.6
489,381,8.6
490,380,8.6
491,380,8.6
492,380,8.6
493,378,8.6
494,377,8.6
495,376,8.6
496,375,8.6
497,374,8.6
498,374,8.6
499,372,8.6
500,372,8.6
501,372,8.6
502,372,8.6
503,371,8.6
504,371,8.6
505,370,8.6
506,370,8.6
507,369,8.6
508,369,8.6
509,368,8.6
510,368,8.6
511,367,8.6
512,366,8.6
513,365,8.6
514,365,8.6
515,363,8.6
516,363,8.6
517,363,8.6
518,362,8.6
519,361,8.6
520,361,8.6
521,361,8.6
522,360,8.6
523,360,8.6
524,359,8.6
525,359,8.6
526,358,8.6
527,358,8.6
528,357,8.6
529,357,8.6
530,357,8.6
531,355,8.6
532,355,8.6
533,355,8.6
534,354,8.6
535,354,8.6
536,354,8.6
537,354,8.6
538,353,8.6
539,353,8.6
540,352,8.6
541,352,8.6
542,352,8.6
543,350,8.6
544,350,8.6
545,350,8.6
546,350,8.6
547,349,8.6
548,349,8.6
549,348,8.6
550,348,8.6
551,348,8.6
552,347,8.6
553,346,8.6
554,346,8.6
555,346,8.6
556,345,8.6
557,345,8.6
558,345,8.6
559,345,8.6
560,345,8.6
561,345,8.6
562,345,8.6
563,344,8.6
564,343,8.6
565,343,8.6
566,343,8.6
567,343,8.6
568,342,8.6
569,341,8.6
570,341,8.6
571,341,8.6
572,340,8.6
573,340,8.6
574,339,8.6
575,339,8.6
576,339,8.6
577,339,8.6
578,339,8.6
579,339,8.6
580,339,8.6
581,338,8.6
582,338,8.6
583,337,8.6
584,337,8.6
585,337,8.6
586,337,8.6
587,336,8.6
588,336,8.6
589,336,8.6
590,336,8.6
591,335,8.6
592,335,8.6
593,335,8.6
594,334,8.6
595,334,8.6
596,334,8.6
597,333,8.6
598,333,8.6
599,333,8.6
600,333,8.6
601,333,8.6
602,333,8.6
603,333,8.6
604,333,8.6
605,333,8.6
606,332,8.6
607,332,8.6
608,332,8.6
609,332,8.6
610,331,8.6
611,331,8.6
612,331,8.6
613,331,8.6
614,331,8.6
615,331,8.6
616,331,8.6
