Time (s),ECT (uS/cm),Temperature (C)
189,344,77.2
190,343,77.2
191,342,77.2
192,342,77.2
193,342,77.2
194,342,77.2
195,341,77.2
196,341,77.2
197,340,77.2
198,340,77.2
199,339,77.2
200,338,77.2
201,338,77.2
202,338,77.2
203,336,77.2
204,336,77.2
205,335,77.2
206,334,77.2
207,332,77.2
208,331,77.2
209,331,77.2
210,330,77.2
211,329,77.2
212,328,77.2
213,327,77.2
214,327,77.2
215,324,77.2
216,323,77.2
217,323,77.2
218,321,77.2
219,320,77.2
220,319,77.2
221,318,77.2
222,315,77.2
223,314,77.2
224,313,77.2
225,312,77.2
226,312,77.2
227,310,77.2
228,310,77.2
229,309,77.2
230,308,77.2
231,306,77.2
232,305,77.2
233,303,77.2
234,302,77.2
235,301,77.2
236,301,77.2
237,300,77.2
238,300,77.2
239,299,77.2
240,298,77.2
241,298,77.2
242,295,77.2
243,293,77.2
244,293,77.2
245,291,77.2
246,291,77.2
247,290,77.2
248,289,77.2
249,289,77.2
250,287,77.2
251,287,77.2
252,285,77.2
253,285,77.2
254,284,77.2
255,284,77.2
256,284,77.2
257,283,77.2
258,282,77.2
259,282,77.2
260,281,77.2
261,280,77.2
262,280,77.2
263,280,77.2
264,279,77.2
265,279,77.2
266,278,77.2
267,277,77.2
268,277,77.2
269,276,77.2
270,275,77.2
271,275,77.2
272,274,77.2
273,274,77.2
274,273,77.2
275,273,77.2
276,272,77.2
277,272,77.2
278,271,77.2
279,271,77.2
280,271,77.2
281,271,77.2
282,270,77.2
283,271,77.2
284,270,77.2
285,269,77.2
286,269,77.2
287,268,77.2
288,268,77.2
289,268,77.2
290,267,77.2
291,266,77.2
292,266,77.2
293,266,77.2
294,266,77.2
295,266,77.2
296,265,77.2
297,265,77.2
298,265,77.2
299,265,77.2
300,265,77.2
301,264,77.2
302,264,77.2
303,263,77.2
304,263,77.2
305,263,77.2
306,262,77.2
307,263,77.2
308,262,77.2
309,262,77.2
310,262,77.2
311,261,77.2
312,261,77.2
313,261,77.2
314,261,77.2
315,261,77.2
316,261,77.2
317,260,77.2
318,261,77.2
319,261,77.2
320,260,77.2
321,260,77.2
322,260,77.2
323,260,77.2
324,259,77.1
325,259,77.2
326,259,77.2
327,259,77.1
328,259,77.2
329,259,77.2
330,259,77.1
331,259,77.1
332,259,77.2
333,259,77.1
334,259,77.1
335,259,77.2
336,259,77.1
337,258,77.1
338,258,77.1
339,258,77.1
340,258,77.1
341,258,77.1
342,258,77.1
343,258,77.1
344,258,77.1
345,258,77.1
346,258,77.1
347,258,77.1
348,258,77.1
349,258,77.1
350,258,77.1
351,257,77.1
352,257,77.1
353,258,77.1
354,258,77.1
355,258,77.1
356,258,77.1
357,258,77.1
358,258,77.1
359,258,77.1
360,258,77.1
361,258,77.1
362,258,77.1
363,258,77.1
364,258,77.1
365,258,77.1
366,258,77.1
367,258,77.1
368,258,77.1
369,258,77.1
370,258,77.1
371,258,77.1
372,258,77.1
373,258,77.1
374,258,77.1
375,258,77.1
376,258,77.1
377,259,77.1
378,259,77.1
379,259,77.1
380,259,77.1
381,259,77.1
382,259,77.1
383,259,77.1
384,259,77.1
385,259,77.1
386,259,77.1
387,259,77.1
388,259,77.1
389,259,77.1
390,259,77.1
391,259,77.1
392,259,77.1
393,259,77.1
394,258,77.1
395,259,77.1
396,259,77.1
397,259,77.1
398,259,77.1
399,259,77.1
400,259,77.1
401,259,77.1
402,258,77.1
403,258,77.1
404,258,77.1
405,258,77.1
406,258,77.1
407,258,77.1
408,258,77.1
409,258,77.1
410,259,77.1
411,258,77.1
412,258,77.1
413,259,77.1
414,259,77.1
415,259,77.1
416,259,77.1
417,259,77.1
418,259,77.1
419,259,77.1
420,259,77.1
421,259,77.1
422,259,77.1
423,259,77.1
424,258,77.1
425,258,77.1
426,258,77.1
427,258,77.1
428,258,77.1
429,258,77.1
430,258,77.1
431,258,77.1
432,258,77.1
433,257,77.1
434,257,77.1
435,257,77.1
436,257,77.1
437,257,77.1
438,257,77.1
439,258,77.1
440,257,77.1
441,257,77.1
442,257,77.1
443,257,77.1
444,257,77.1
445,258,77.1
446,257,77.1
447,257,77.1
448,257,77.1
449,257,77.1
450,257,77.1
451,257,77.1
452,257,77.1
453,257,77.1
454,257,77.1
455,257,77.1
456,257,77.1
457,257,77.1
458,257,77.1
459,257,77.1
460,257,77.1
461,257,77.1
462,257,77.1
463,257,77.1
464,257,77.1
465,257,77.1
466,257,77.1
467,256,77.1
468,256,77.1
469,256,77.1
470,256,77.1
471,256,77.1
472,256,77.1
473,256,77.1
474,256,77.1
475,256,77.1
476,256,77.1
477,256,77.1
478,256,77.1
479,256,77.1
480,256,77.1
481,256,77.1
482,256,77.1
483,256,77.1
484,256,77.1
485,256,77.1
486,256,77.1
487,255,77.1
488,255,77.1
489,255,77.1
490,255,77.1
491,255,77.1
492,255,77.1
493,255,77.1
494,255,77.1
495,255,77.1
496,255,77.1
497,255,77.1
498,255,77.1
499,255,77.1
500,255,77.1
501,255,77.1
502,255,77.1
503,255,77.1
504,255,77.1
505,255,77.1
506,255,77.1
507,255,77.1
508,255,77.1
509,255,77.1
510,255,77.1
511,255,77.1
512,254,77.1
513,254,77.1
514,254,77.1
515,254,77.1
516,254,77.1
517,254,77.1
518,254,77.1
519,254,77.1
520,254,77.1
521,254,77.1
522,254,77.1
523,254,77.1
524,254,77.1
525,253,77.1
526,253,77.1
527,254,77.1
528,253,77
529,254,77.1
530,254,77.1
531,254,77
532,254,77
533,254,77.1
534,253,77
535,254,77
536,253,77.1
537,253,77
538,254,77
539,254,77.1
540,253,77
541,254,77
542,254,77
543,253,77
544,254,77
545,253,77
546,253,77
547,254,77
548,253,77
549,253,77
550,253,77
551,253,77
552,253,77
553,253,77
554,253,77
555,253,77
556,253,77
557,253,77
558,253,77
559,253,77
560,253,77
561,253,77
562,253,77
563,253,77
564,253,77
565,253,77
566,253,77
567,253,77
568,253,77
569,253,77
570,253,77
571,253,77
572,253,77
573,253,77
574,253,77
575,253,77
576,253,77
577,253,77
578,253,77
579,253,77
580,253,77
581,253,77
582,253,77
583,253,77
584,253,77
585,253,77
586,253,77
587,253,77
588,253,77
589,253,77
590,253,77
591,253,77
592,253,77
593,253,77
594,253,77
595,253,77
596,253,77
597,253,77
598,253,77
599,253,77
600,253,77
601,253,77
602,252,77
603,252,77
604,252,77
605,252,77
606,252,77
607,252,77
608,252,77
609,252,77
610,252,77
611,252,77
612,252,77
613,252,77
614,252,77
615,252,77
616,252,77
617,252,77
618,252,77
619,252,77
620,252,77
621,252,77
622,252,77
623,252,77
624,252,77
625,252,77
626,252,77
627,252,77
628,252,77
629,252,77
630,252,77
631,252,77
632,252,77
633,252,77
634,252,77
635,252,77
636,252,77
637,252,77
638,252,77
639,252,77
640,252,77
641,252,77
642,252,77
643,252,77
644,252,77
645,252,77
646,252,77
647,252,77
648,252,77
649,252,77
650,252,77
651,252,77
652,252,77
653,252,77
654,252,77
655,252,77
656,252,77
657,252,77
658,252,77
659,252,77
660,252,77
661,252,77
662,252,77
663,252,77
664,252,77
665,252,77
666,252,77
667,252,77
668,252,77
669,252,77
