Time (s),ECT (uS/cm),Temperature (C)
1,252,77.3
2,252,77.3
3,252,77.3
4,252,77.3
5,252,77.3
6,252,77.3
7,252,77.3
8,252,77.3
9,252,77.3
10,252,77.3
11,252,77.3
12,252,77.3
13,252,77.3
14,252,77.3
15,252,77.3
16,252,77.3
17,252,77.3
18,252,77.4
19,252,77.3
20,252,77.3
21,252,77.3
22,252,77.3
23,252,77.3
24,252,77.3
25,252,77.3
26,252,77.3
27,252,77.3
28,252,77.3
29,252,77.3
30,252,77.3
31,252,77.3
32,252,77.3
33,252,77.3
34,252,77.3
35,252,77.3
36,252,77.3
37,252,77.3
38,252,77.3
39,252,77.3
40,252,77.3
41,252,77.3
42,252,77.3
43,252,77.3
44,252,77.3
45,252,77.3
46,252,77.3
47,252,77.3
48,252,77.3
49,252,77.3
50,252,77.3
51,252,77.3
52,252,77.3
53,252,77.3
54,252,77.3
55,252,77.3
56,252,77.3
57,252,77.3
58,252,77.3
59,252,77.3
60,252,77.3
61,252,77.3
62,252,77.3
63,252,77.3
64,252,77.3
65,252,77.3
66,252,77.3
67,252,77.3
68,252,77.3
69,252,77.3
70,252,77.3
71,252,77.3
72,252,77.3
73,252,77.3
74,252,77.3
75,252,77.3
76,252,77.3
77,252,77.3
78,252,77.3
79,252,77.3
80,252,77.3
81,252,77.3
82,252,77.3
83,252,77.3
84,252,77.3
85,252,77.3
86,252,77.3
87,252,77.3
88,252,77.3
89,252,77.3
90,252,77.3
91,252,77.3
92,252,77.3
93,252,77.3
94,252,77.3
95,252,77.3
96,252,77.3
97,252,77.3
98,252,77.3
99,252,77.3
100,252,77.3
101,252,77.3
102,252,77.3
103,252,77.3
104,252,77.3
105,252,77.3
106,252,77.3
107,252,77.3
108,252,77.3
109,252,77.3
110,252,77.3
111,252,77.3
112,252,77.3
113,252,77.3
114,252,77.3
115,252,77.3
116,252,77.3
117,252,77.3
118,252,77.3
119,252,77.3
120,252,77.3
121,252,77.3
122,252,77.3
123,252,77.3
124,252,77.3
125,252,77.3
126,252,77.3
127,252,77.3
128,252,77.3
129,252,77.3
130,252,77.3
131,252,77.3
132,252,77.3
133,252,77.3
134,252,77.3
135,252,77.3
136,252,77.3
137,253,77.3
138,253,77.3
139,253,77.3
140,253,77.3
141,254,77.3
142,254,77.2
143,256,77.3
144,257,77.2
145,258,77.2
146,261,77.3
147,263,77.2
148,264,77.2
149,267,77.2
150,269,77.2
151,272,77.2
152,274,77.2
153,278,77.2
154,279,77.2
155,286,77.2
156,291,77.2
157,293,77.2
158,301,77.2
159,304,77.2
160,306,77.2
161,311,77.2
162,315,77.2
163,317,77.2
164,322,77.2
165,325,77.2
166,329,77.2
167,332,77.2
168,336,77.2
169,336,77.2
170,340,77.2
171,342,77.2
172,343,77.2
173,344,77.2
174,346,77.2
175,346,77.2
176,347,77.2
177,346,77.2
178,346,77.2
179,346,77.2
180,346,77.2
181,346,77.2
182,348,77.2
183,348,77.2
184,348,77.2
185,347,77.2
186,346,77.2
187,345,77.2
188,344,77.2
