Calibration solution added (ml),Conductivity (microSiemens/cm),Temperature (C)
500,258,-3259.2
501,296,-3259.2
502,336,-3259.2
503,375,-3259.2
504,414,-3259.2
505,452,-3259.2
506,493,-3259.2
