Time (s),ECT (uS/cm),Temperature (C)
165,336,8
166,335,8
167,335,8
168,336,7.9
169,336,8
170,336,8
171,336,8
172,336,8
173,335,8
174,335,8
175,335,8
176,335,8
177,335,8
178,335,8
179,335,8
180,335,8
181,335,8
182,335,8.1
183,335,8.1
184,335,8.1
185,335,8.1
186,335,8.1
187,335,8.2
188,334,8.1
189,335,8.1
190,335,8.1
191,335,8.1
192,335,8.1
193,335,8.1
194,335,8.1
195,336,8.1
196,335,8
197,335,8.1
198,335,8.1
199,335,8.1
200,336,8.1
201,335,8.1
202,335,8.1
203,335,8.1
204,335,8.1
205,335,8.1
206,336,8.1
207,336,8.1
208,336,8.1
209,336,8.1
210,335,8.1
211,335,8
212,336,8
213,336,8
214,336,8
215,336,8
216,336,8.1
217,335,8.1
218,335,8.1
219,335,8.1
220,335,8.1
221,335,8.1
222,335,8.1
223,335,8.1
224,335,8.1
225,336,8.1
226,336,8
227,335,8.1
228,335,8.1
229,335,8.1
230,335,8.2
231,334,8.2
232,334,8.2
233,334,8.2
234,334,8.2
235,334,8.1
236,335,8.1
237,335,8.1
238,336,8
239,336,8
240,335,8.1
241,335,8.1
242,335,8.1
243,335,8.1
244,335,8.1
245,335,8.1
246,336,8.1
247,336,8.1
248,336,8
249,336,8
250,336,8
251,336,8
252,336,8
253,336,8.1
254,337,8.1
255,337,8.1
256,337,8.1
257,337,8.1
258,337,8.1
259,337,8.1
260,338,8.1
261,339,8.1
262,339,8.1
263,340,8.1
264,340,8
265,341,8.1
266,342,8
267,343,8.1
268,344,8.1
269,345,8.1
270,347,8.1
271,347,8.1
272,349,8.1
273,350,8.1
274,352,8.1
275,354,8.1
276,354,8.1
277,356,8.1
278,359,8.1
279,360,8.1
280,363,8.1
281,366,8.1
282,366,8
283,369,8
284,373,8
285,375,8.1
286,377,8.1
287,380,8.1
288,380,8.1
289,386,8.1
290,389,8.1
291,392,8.1
292,396,8.1
293,398,8.1
294,398,8.1
295,406,8.1
296,409,8.1
297,412,8.1
298,415,8.1
299,418,8.2
300,418,8.2
301,425,8.2
302,429,8.2
303,433,8.2
304,437,8.2
305,440,8.1
306,440,8.1
307,447,8
308,450,8
309,454,8
